slug,name,playtime,released,tba,rating,rating_top,ratings_count,reviews_text_count,added,suggestions_count,updated,game_id,reviews_count,genres
back-to-the-dawn,Back to the Dawn,5,2025-07-18,False,0.0,4,5,0,40,359,2025-08-03T08:06:04,971699,5,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Indie']"
robocop-rogue-city-unfinished-business,RoboCop: Rogue City - Unfinished Business,0,2025-07-16,False,3.18,4,9,2,33,236,2025-08-24T02:42:44,1006719,11,"['Adventure', 'Action']"
system-shock-2-25th-anniversary-remaster,System Shock 2: 25th Anniversary Remaster,1,2025-06-26,False,4.57,5,7,0,32,387,2025-09-10T11:55:45,998492,7,"['Adventure', 'Action', 'RPG']"
peak-3,PEAK.,0,2025-06-17,False,4.13,4,15,0,31,0,2025-10-05T11:13:47,1008671,15,['Adventure']
heretic-hexen,Heretic + Hexen,1,2025-08-06,False,0.0,0,3,1,29,250,2025-10-04T14:09:38,1008291,4,"['Adventure', 'Action', 'RPG']"
fbc-firebreak,FBC: Firebreak,0,2025-06-17,False,2.14,3,6,1,28,164,2025-09-08T19:54:51,1001848,7,"['Shooter', 'Action']"
tony-hawks-pro-skater-3-4,Tony Hawk's Pro Skater 3 + 4,0,2025-07-10,False,3.5,5,8,0,28,224,2025-09-06T21:05:10,998678,8,"['Simulation', 'Sports']"
mecha-break,mecha break,1,2025-07-01,True,0.0,0,4,0,27,0,2025-09-15T07:05:25,983216,4,"['Massively Multiplayer', 'Action']"
lord-of-the-rings-the-white-council,Tales of the Shire: A The Lord of The Rings,0,2025-07-29,False,0.0,0,3,0,27,441,2025-08-12T03:48:19,334622,3,['Simulation']
one-eyed-likho,One-Eyed Likho,0,2025-07-28,False,3.75,4,8,0,27,0,2025-09-13T10:58:11,1007056,8,"['Indie', 'Adventure']"
the-king-is-watching,The King is Watching,10,2025-07-21,False,4.29,4,7,0,27,127,2025-09-10T05:57:12,1007234,7,"['Strategy', 'Indie']"
persona5-the-phantom-x,Persona5: The Phantom X,4,2025-06-25,False,0.0,0,1,0,26,0,2025-08-29T04:38:28,1005805,1,"['Adventure', 'RPG']"
suit-for-hire,Suit for Hire,2,2025-06-20,False,0.0,0,3,0,25,319,2025-07-14T14:44:07,611625,3,"['Indie', 'Action']"
luto,Luto,0,2025-07-21,False,0.0,0,2,0,25,17,2025-08-04T23:50:14,962022,2,"['Indie', 'Adventure', 'Action']"
lost-in-random-the-eternal-die,Lost in Random: The Eternal Die,0,2025-06-16,False,0.0,0,2,0,23,548,2025-08-20T08:57:43,1004662,2,"['Adventure', 'Action', 'RPG']"
wheel-world,Wheel World,0,2025-07-23,False,3.83,4,6,0,23,57,2025-09-13T02:00:41,1007057,6,"['Racing', 'Adventure', 'Sports']"
broken-arrow,Broken Arrow,0,2025-06-19,True,0.0,4,5,0,23,177,2025-09-15T13:55:21,602355,5,['Strategy']
warhammer-40000-space-marine-master-crafted-editio,"Warhammer 40,000: Space Marine - Master Crafted Edition",9,2025-06-10,False,2.17,1,6,0,21,693,2025-09-06T17:24:12,1004732,6,"['Adventure', 'Action', 'RPG']"
cast-n-chill,Cast n Chill,2,2025-06-16,False,0.0,0,2,0,19,151,2025-09-30T03:43:11,1004987,3,"['RPG', 'Casual', 'Simulation', 'Sports', 'Indie']"
tiny-bookshop,Tiny Bookshop,0,2025-08-07,False,0.0,0,2,1,18,172,2025-10-05T23:44:29,1008385,3,"['Casual', 'Indie', 'RPG', 'Simulation']"
down-the-rabbit-hole-flattened,Down the Rabbit Hole Flattened,0,2025-06-18,False,0.0,0,0,0,17,0,2025-06-20T09:08:49,1005267,0,"['Indie', 'Adventure']"
drill-core,Drill Core,11,2025-07-17,False,0.0,0,2,0,16,0,2025-09-12T06:54:00,988807,2,"['Strategy', 'Indie']"
rematch-2,REMATCH,20,2025-06-19,False,0.0,0,1,0,14,446,2025-08-30T08:40:40,1005321,1,"['Indie', 'Action', 'Sports']"
peak-2025,PEAK (2025),0,2025-06-17,False,4.12,4,7,1,13,134,2025-09-19T16:00:41,1004990,8,"['Indie', 'Adventure', 'Action']"
patapon-12-replay,PATAPON 1+2 REPLAY,0,2025-07-10,False,0.0,0,2,0,13,0,2025-08-21T20:33:46,1006407,3,"['Adventure', 'Action', 'RPG']"
mage-arena-3,Mage Arena,1,2025-07-24,False,0.0,0,0,0,12,0,2025-07-25T08:57:45,1007447,0,['Action']
date-everything,Date Everything!,0,2025-06-17,False,0.0,0,3,0,12,39,2025-08-13T06:23:09,1005183,3,['Simulation']
grounded-2-2,Grounded 2,5,2025-07-29,True,0.0,0,0,0,12,387,2025-08-12T19:42:00,1004652,1,"['Adventure', 'Action']"
mycopunk,Mycopunk,3,2025-07-10,False,0.0,0,0,0,12,289,2025-07-11T06:20:33,1004664,0,"['Shooter', 'Indie', 'Action']"
split-3,s.p.l.i.t,1,2025-07-24,False,0.0,0,3,0,11,0,2025-10-01T10:18:57,1007459,3,"['Indie', 'Action', 'Simulation']"
artis-impact,Artis Impact,1,2025-08-07,False,0.0,0,2,0,11,221,2025-09-25T17:25:37,1008340,2,"['Casual', 'Indie', 'Adventure', 'RPG']"
killing-floor-3,Killing Floor 3,3,2025-07-24,False,0.0,0,4,0,11,483,2025-09-10T08:13:31,1007437,4,['Action']
five-nights-at-freddys-secret-of-the-mimic,Five Nights at Freddy's: Secret of the Mimic,0,2025-06-13,False,0.0,0,1,0,10,283,2025-08-05T07:06:22,1004929,2,['Indie']
ship-inc,"Ship, Inc.",13,2025-06-23,False,0.0,0,3,1,10,259,2025-09-17T18:00:49,1005644,4,"['Casual', 'Strategy', 'Indie', 'Simulation']"
last-report,Last Report,0,2025-07-11,False,0.0,4,5,0,9,164,2025-09-04T19:33:26,1006519,5,"['Indie', 'Adventure']"
ruffy-and-the-riverside,Ruffy and the Riverside,0,2025-06-26,False,0.0,0,2,0,9,285,2025-08-01T01:05:10,955276,2,"['Indie', 'Platformer', 'Adventure', 'Action']"
static-dread-the-lighthouse,Static Dread: The Lighthouse,0,2025-08-06,False,0.0,0,2,0,8,141,2025-09-26T16:33:56,1008321,2,"['Adventure', 'Action', 'Casual', 'Simulation', 'Indie']"
front-mission-3-2010,Front Mission 3rd Remake,0,2025-06-26,False,0.0,0,1,0,8,73,2025-07-01T04:26:12,345140,1,['Strategy']
camper-van-make-it-home,Camper Van: Make it Home,8,2025-06-07,False,0.0,0,1,0,8,145,2025-07-06T22:42:31,1004606,1,"['Casual', 'Indie']"
dungeons-dragons-neverwinter-nights-2-enhanced-edi,Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,1,2025-07-15,False,0.0,0,1,0,7,604,2025-08-10T15:27:06,1006858,1,"['Adventure', 'Action', 'RPG']"
shadow-labyrinth,Shadow Labyrinth,0,2025-07-17,False,0.0,0,0,0,7,32,2025-07-18T12:43:23,417663,0,"['Action', 'Puzzle']"
let-them-trade,Let Them Trade,1,2025-07-24,False,0.0,0,2,1,7,0,2025-09-20T23:18:54,1007440,3,"['Strategy', 'Indie', 'Simulation']"
ritual-of-raven,Ritual of Raven,0,2025-08-07,False,0.0,0,2,0,7,320,2025-08-30T08:38:08,1008367,2,"['Casual', 'Simulation']"
zynga-poker-texas-holdem-2,Zynga Poker – Texas Holdem,0,2025-06-25,False,0.0,0,2,0,6,133,2025-06-27T12:27:04,227617,2,"['Casual', 'Strategy', 'Simulation']"
tower-wizard-2,Tower Wizard,8,2025-06-19,False,0.0,0,2,1,6,0,2025-08-02T01:12:23,1005335,3,"['Strategy', 'Indie', 'RPG', 'Simulation']"
crime-simulator,Crime Simulator,0,2025-06-17,False,0.0,0,0,0,6,388,2025-06-20T07:08:17,1005172,0,"['Indie', 'Action', 'Simulation']"
boobs-2,BOOBS,0,2025-06-27,False,0.0,0,0,0,6,0,2025-06-30T07:11:39,1005985,0,['Casual']
stronghold-crusader-definitive-edition,Stronghold Crusader: Definitive Edition,0,2025-07-15,False,0.0,0,0,0,6,134,2025-07-18T11:14:51,1006873,0,"['Strategy', 'Simulation']"
fill-up-the-hole,Fill Up The Hole,1,2025-07-17,False,0.0,0,1,0,6,76,2025-07-26T01:32:59,1007009,1,"['Strategy', 'Indie', 'Simulation']"
shadowverse-worlds-beyond,Shadowverse: Worlds Beyond,1,2025-06-14,False,0.0,0,0,0,6,0,2025-06-16T06:49:34,1004961,0,"['Casual', 'Strategy', 'RPG']"
the-rpg-2,The RPG,0,2025-08-07,False,0.0,0,3,0,6,450,2025-09-28T08:15:35,1008171,3,"['Adventure', 'Action', 'RPG', 'Casual', 'Indie']"
anomalous-coffee-machine-2,ANOMALOUS COFFEE MACHINE 2,0,2025-06-21,False,0.0,0,3,0,5,291,2025-08-15T15:34:11,1005609,3,['Simulation']
and-roger,and Roger,1,2025-07-23,False,0.0,0,2,1,5,38,2025-08-20T14:17:36,1007378,3,"['Casual', 'Indie', 'Adventure', 'Simulation']"
handyman-fantasy,Handyman Fantasy,0,2025-06-18,False,0.0,0,2,0,5,0,2025-10-06T02:20:36,1005295,2,"['Casual', 'Indie', 'RPG', 'Simulation']"
still-wakes-the-deep-sirens-rest,Still Wakes the Deep: Siren’s Rest,0,2025-06-18,False,0.0,0,2,0,5,39,2025-07-05T04:10:07,1004991,2,['Adventure']
day-of-the-shell-prologue,Day of the Shell: Prologue,0,2025-07-01,False,0.0,0,0,0,5,125,2025-07-04T10:54:05,1006150,0,['Strategy']
he-is-coming,He is Coming,1,2025-07-17,False,0.0,0,2,0,5,99,2025-09-15T11:22:43,1006744,2,"['Strategy', 'RPG']"
v-lover,V-LOVER!,0,2025-06-24,False,0.0,0,1,0,5,535,2025-09-03T12:57:34,1005741,1,"['Casual', 'Indie', 'RPG', 'Simulation']"
dont-fool-me-beauties,"Don't FOOL ME, Beauties!",0,2025-07-07,False,0.0,0,1,0,5,204,2025-09-03T13:07:54,1006359,1,"['Adventure', 'RPG', 'Simulation']"
terminull-brigade,Terminull Brigade,1,2025-07-29,False,0.0,0,0,0,5,565,2025-08-01T08:56:36,1007781,0,"['Adventure', 'Action', 'RPG']"
keep-on-mining,Keep on Mining!,0,2025-07-30,False,0.0,0,3,1,5,46,2025-08-28T02:14:40,1007808,4,"['Casual', 'Indie']"
primal-planet,Primal Planet,0,2025-07-28,True,0.0,0,0,1,4,45,2025-09-14T03:29:05,983705,1,"['Indie', 'Platformer', 'Adventure', 'Action']"
raidou-remastered-the-mystery-of-the-soulless-army,RAIDOU Remastered: The Mystery of the Soulless Army,0,2025-06-19,False,0.0,0,1,0,4,506,2025-07-04T09:10:17,1005296,1,"['Action', 'RPG']"
wildgate,Wildgate,3,2025-07-22,False,0.0,0,1,0,4,161,2025-09-23T18:18:51,1007314,1,['Action']
4story-the-original,4STORY: The Original,0,2025-06-10,False,0.0,0,0,0,4,255,2025-06-13T05:13:44,1004753,0,"['Adventure', 'Action', 'RPG', 'Casual', 'Massively Multiplayer']"
oxide-room-208,Oxide Room 208,0,2025-07-25,False,0.0,0,1,0,4,297,2025-08-02T00:49:34,934647,1,"['Adventure', 'Action']"
prison-escape-simulator-dig-out,Prison Escape Simulator: Dig Out,1,2025-07-25,False,0.0,0,2,1,4,299,2025-09-07T02:21:50,1007550,3,"['Adventure', 'Action', 'Casual', 'Simulation', 'Indie']"
ooo-2,Öoo,0,2025-08-07,False,0.0,0,2,0,4,175,2025-09-28T12:20:15,1008375,2,"['Indie', 'Adventure', 'Action']"
a-few-quick-matches,A Few Quick Matches,1,2025-08-05,False,0.0,0,2,0,4,50,2025-09-17T13:45:15,1008281,2,"['Casual', 'Indie', 'Action']"
jerezs-arena-iii,Jerez's Arena Ⅲ,0,2025-06-23,False,0.0,0,3,0,4,506,2025-09-17T02:34:52,1005691,3,"['Indie', 'Strategy', 'Adventure', 'RPG']"
makeroom,MakeRoom,0,2025-08-07,False,0.0,0,0,0,4,274,2025-08-08T13:26:53,1008369,0,"['Casual', 'Indie', 'Simulation']"
lao-nu-you-xi,捞女游戏,0,2025-06-19,False,0.0,0,1,0,4,475,2025-07-12T14:46:59,1005318,1,"['Indie', 'Strategy', 'Adventure', 'RPG']"
demon-slayer-kimetsu-no-yaiba-the-hinokami-chron-2,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,0,2025-08-05,False,0.0,0,0,0,3,26,2025-08-08T11:07:45,1002082,0,"['Adventure', 'Action', 'Fighting']"
wordatro,Wordatro!,1,2025-06-23,False,0.0,0,2,0,3,25,2025-07-04T06:11:05,1005675,2,"['Strategy', 'Indie']"
three-kingdoms-mushouden,Three Kingdoms Mushouden,0,2025-06-16,False,0.0,0,3,0,3,292,2025-09-25T07:23:44,1005123,3,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Indie']"
a-building-full-of-cats-2,A Building Full of Cats 2,0,2025-06-15,False,0.0,0,1,0,3,42,2025-09-05T12:57:45,1005102,1,"['Casual', 'Indie', 'Adventure']"
rekindled-trails,Rekindled Trails,0,2025-06-30,False,0.0,0,1,0,3,437,2025-07-13T17:44:04,1006060,1,"['Casual', 'Indie', 'Adventure', 'RPG']"
islanders-new-shores,ISLANDERS: New Shores,0,2025-07-10,False,0.0,0,0,0,3,92,2025-07-11T06:24:24,1006484,0,"['Casual', 'Strategy', 'Indie', 'Simulation']"
astro-prospector,Astro Prospector,1,2025-07-14,False,0.0,0,1,0,3,0,2025-07-29T17:08:17,1006785,1,"['Action', 'Casual', 'Strategy', 'Simulation', 'Indie']"
time-flies-3,Time Flies,0,2025-07-31,False,0.0,0,1,0,3,0,2025-09-08T20:36:05,1007677,1,"['Indie', 'Adventure']"
fatehollow-ataraxia-remastered,Fate/hollow ataraxia REMASTERED,0,2025-08-06,False,0.0,0,0,0,3,442,2025-08-08T12:01:08,1008314,0,['Adventure']
wires-and-whiskers,Wires And Whiskers,0,2025-07-31,False,0.0,0,0,0,3,0,2025-08-01T06:19:00,1007664,0,"['Casual', 'Indie', 'Adventure', 'Action']"
scp-cb-multiplayer-reborn,SCP: CB Multiplayer Reborn,0,2025-07-04,False,0.0,0,0,0,3,121,2025-07-07T09:04:49,1006273,0,"['Indie', 'Massively Multiplayer', 'Action']"
the-rpg-my-first-dungeon-smells,The RPG: My First Dungeon Smells,0,2025-06-25,False,0.0,0,0,0,3,452,2025-06-27T11:41:55,1005763,0,"['Adventure', 'Action', 'RPG', 'Casual', 'Indie']"
mei-nu-qing-bie-ying-xiang-wo-cheng-xian,美女，请别影响我成仙,0,2025-06-19,False,0.0,0,1,0,3,0,2025-08-18T02:21:15,1005435,1,"['Adventure', 'RPG', 'Casual', 'Strategy', 'Simulation', 'Indie']"
brutal-john-2,BRUTAL JOHN 2,0,2025-07-22,False,0.0,0,2,0,3,578,2025-08-19T04:35:54,1007303,2,"['Indie', 'Action']"
cattos-post-office,Catto's Post Office,0,2025-08-04,False,0.0,0,0,0,3,0,2025-08-08T09:16:53,1008196,0,['Casual']
dogwalk-2,DOGWALK,0,2025-07-11,False,0.0,0,0,0,3,298,2025-07-14T10:25:33,1006614,0,"['Casual', 'Indie']"
fireside-feelings,Fireside Feelings,2,2025-06-07,False,0.0,0,0,0,3,93,2025-06-09T10:09:08,1004613,0,"['Casual', 'Indie']"
dont-tell-mom-i-fed-my-stepsister,Don’t Tell Mom: I Fed My Stepsister 💦😳,0,2025-07-12,False,0.0,0,1,0,3,482,2025-07-18T20:58:01,1006687,1,"['Casual', 'Adventure', 'Simulation']"
gemporium-a-cute-mining-sim,Gemporium: A Cute Mining Sim,0,2025-08-07,False,0.0,0,1,1,3,193,2025-08-22T00:21:26,1007957,2,"['Action', 'Simulation']"
fate-war,Fate War,3,2025-08-04,False,0.0,0,0,0,3,0,2025-08-08T09:29:16,1008206,0,"['Strategy', 'Massively Multiplayer', 'RPG']"
boxville-2,Boxville 2,0,2025-06-26,False,0.0,0,1,1,3,0,2025-07-30T16:35:04,995169,2,"['Indie', 'Adventure']"
wander-stars,Wander Stars,0,2025-07-31,False,0.0,0,0,0,3,363,2025-09-22T17:29:45,1004631,0,"['Indie', 'Adventure', 'RPG']"
co-op-kaiju-horror-cooking,Co-op Kaiju Horror Cooking,0,2025-07-29,False,0.0,0,0,0,2,0,2025-08-01T08:24:41,1007756,0,"['Strategy', 'Indie', 'Action', 'Simulation']"
holy-shoot,Holy Shoot,0,2025-07-30,False,0.0,0,1,0,2,0,2025-08-10T12:47:39,1007812,1,"['Casual', 'Indie', 'Action']"
kinky-cats,Kinky Cats 🔞,0,2025-07-25,False,0.0,0,0,0,2,397,2025-07-28T10:19:14,1007582,0,"['Casual', 'RPG']"
off-the-grid-2,Off The Grid,0,2025-07-17,False,0.0,0,0,1,2,316,2025-09-18T14:53:54,1006995,1,"['Massively Multiplayer', 'Action']"
netherworld-covenant,Netherworld Covenant,0,2025-06-18,False,0.0,0,0,0,2,536,2025-06-20T09:21:48,1005277,0,"['Indie', 'Adventure', 'Action', 'RPG']"
happy-island-fantasy,Happy Island Fantasy,0,2025-07-11,False,0.0,0,0,0,2,351,2025-07-14T11:23:16,1006659,0,"['Adventure', 'RPG']"
look-mum-no-computer,Look Mum No Computer,0,2025-07-24,False,0.0,0,0,0,2,373,2025-07-25T03:57:42,1005872,0,"['Indie', 'Action', 'RPG']"
everdeep-aurora,Everdeep Aurora,0,2025-07-09,False,0.0,0,0,0,2,372,2025-07-11T06:00:39,1006316,0,"['Indie', 'Adventure']"
tron-catalyst,TRON: Catalyst,0,2025-06-17,False,0.0,0,0,0,2,0,2025-06-20T06:57:56,1005164,0,"['Adventure', 'Action']"
hellbreak-2,HELLBREAK,0,2025-06-12,False,0.0,0,1,0,2,554,2025-06-13T12:39:39,1004840,1,"['Indie', 'Action']"
alpha-squadron,Alpha Squadron,0,2025-08-02,False,0.0,0,0,0,2,167,2025-08-04T13:07:17,48844,0,"['Arcade', 'Action']"
dreadtome,DREADTOME,0,2025-06-12,False,0.0,0,0,0,2,352,2025-06-13T06:43:43,1004826,0,"['Adventure', 'Action']"
nitro-gen-omega,NITRO GEN OMEGA,0,2025-06-17,False,0.0,0,0,0,2,392,2025-06-20T07:25:16,1005186,0,"['Strategy', 'RPG']"
chronicles-of-the-wolf,Chronicles of the Wolf,0,2025-06-19,False,0.0,0,1,0,2,0,2025-07-09T15:51:15,1005331,1,"['Indie', 'Adventure', 'Action']"
misc-a-tiny-tale,Misc. A Tiny Tale,0,2025-07-31,False,0.0,0,0,0,2,167,2025-08-01T11:45:09,1007898,0,"['Casual', 'Indie', 'Adventure']"
tall-trails,Tall Trails,0,2025-08-04,False,0.0,0,0,0,2,253,2025-08-08T09:53:11,1008221,0,"['Casual', 'Indie', 'Adventure', 'Action']"
female-anchor-next-door,Female Anchor Next Door,0,2025-06-19,False,0.0,0,2,0,2,454,2025-10-02T12:37:18,1005307,2,"['Casual', 'RPG']"
primordialis,Primordialis,0,2025-07-02,False,0.0,0,1,0,2,172,2025-07-31T01:09:01,1006189,1,"['Indie', 'Action', 'Simulation']"
parcel-simulator,Parcel Simulator,0,2025-06-20,False,0.0,0,2,0,2,244,2025-07-06T22:31:50,1005530,2,"['Casual', 'Indie', 'Simulation']"
heroes-of-valor,Heroes of Valor,0,2025-06-12,True,0.0,0,0,0,2,185,2025-06-13T06:45:38,1001423,0,"['Casual', 'Shooter', 'Indie', 'Action']"
fear-the-timeloop-prologue,Fear the Timeloop - Prologue,0,2025-06-20,False,0.0,0,0,0,2,373,2025-06-23T10:14:03,1005495,0,"['Indie', 'Adventure', 'Action']"
day-of-the-rising-dead,DAY OF THE RISING DEAD,0,2025-06-11,False,0.0,0,1,0,2,495,2025-06-14T11:43:12,1004756,1,"['Casual', 'Indie', 'Adventure', 'Action']"
phantom-squad,Phantom Squad,0,2025-07-18,False,0.0,0,0,0,2,121,2025-07-21T09:06:11,1007111,0,"['Indie', 'Action']"
bus-flipper-renovator-simulator,Bus Flipper: Renovator Simulator,0,2025-07-31,False,0.0,0,1,1,2,416,2025-10-02T16:38:01,1007851,3,"['Indie', 'Simulation']"
witch-please-sex-service,Witch Please: Sex Service,0,2025-07-25,False,0.0,0,2,0,2,499,2025-09-24T01:45:00,1007570,2,"['Adventure', 'Casual', 'Strategy', 'Simulation', 'Indie']"
the-great-villainess-strategy-of-lily,The Great Villainess: Strategy of Lily,0,2025-07-23,False,0.0,0,0,0,2,147,2025-07-25T08:04:30,1007408,0,"['Strategy', 'Indie', 'Simulation']"
conquer-the-world,Conquer the world,0,2025-07-16,False,0.0,0,0,0,2,62,2025-07-18T13:13:47,1006967,0,"['RPG', 'Casual', 'Strategy', 'Simulation', 'Indie']"
dread-flats,Dread Flats,0,2025-07-10,False,0.0,0,0,0,2,319,2025-07-14T08:52:27,1006547,0,"['Adventure', 'RPG', 'Casual', 'Simulation', 'Indie']"
ertugrul-of-ulukayin,Ertugrul of Ulukayin,0,2025-06-12,False,0.0,0,0,0,2,289,2025-06-13T06:41:29,1004824,0,"['Indie', 'Adventure', 'Action', 'RPG']"
brickadia,Brickadia,0,2025-07-11,True,0.0,0,0,0,2,214,2025-07-14T10:32:20,739601,0,"['Casual', 'Indie', 'Action', 'Simulation']"
interdimensional-vending-machine,INTERDIMENSIONAL VENDING MACHINE,0,2025-06-29,False,0.0,0,0,0,2,357,2025-06-30T06:56:27,1005970,0,['Simulation']
that-one-otter-game,That One Otter Game,0,2025-07-15,False,0.0,0,1,0,2,443,2025-09-20T15:51:07,1006856,1,['Adventure']
gold-gold-adventure-gold,Gold Gold Adventure Gold,0,2025-07-31,False,0.0,0,0,0,2,550,2025-08-01T12:56:08,1007947,0,"['Strategy', 'Indie', 'RPG', 'Simulation']"
one-mans-trash-2,One Man´s Trash,0,2025-07-23,False,0.0,0,1,1,2,83,2025-09-16T19:16:22,1007370,2,"['Casual', 'Indie', 'Adventure', 'Simulation']"
the-biggleboss-incident,The Biggleboss Incident,0,2025-07-22,False,0.0,0,1,0,2,0,2025-08-13T00:07:13,1007296,1,['Adventure']
anime-scary-teacher-3d,Anime Scary Teacher 3D,0,2025-07-31,False,0.0,0,0,0,2,50,2025-08-01T12:42:23,1007941,0,"['Adventure', 'RPG', 'Casual', 'Strategy', 'Simulation', 'Indie']"
underfishing,Underfishing,0,2025-06-19,False,0.0,0,0,0,2,0,2025-06-20T10:27:17,1005325,0,"['Casual', 'Indie', 'Adventure', 'Simulation']"
not-monday-cafe,Not Monday Cafe,0,2025-06-22,False,0.0,0,1,0,2,367,2025-09-06T18:42:39,1005633,1,"['Casual', 'Indie', 'Simulation']"
tropical-monster-girls,Tropical Monster Girls,0,2025-07-25,False,0.0,0,0,0,2,35,2025-07-28T08:15:15,1007491,0,"['Indie', 'Action', 'RPG']"
liminal-exit,Liminal Exit,0,2025-08-07,False,0.0,0,0,0,2,0,2025-08-08T13:39:37,1008379,0,"['Indie', 'Adventure', 'Simulation']"
i-know-this-place-chapter-ii,I Know This Place..? (chapter II),0,2025-06-25,False,0.0,0,0,0,2,191,2025-06-27T12:11:58,1005780,0,"['Indie', 'Adventure']"
trash-collector-simulator-survive-edition,Trash Collector Simulator: Survive Edition,0,2025-07-03,False,0.0,0,1,0,2,200,2025-07-07T17:42:29,1006209,1,"['Indie', 'Simulation']"
edens-zero,Edens Zero,0,2025-07-15,True,0.0,0,0,0,2,33,2025-07-18T10:33:43,994607,0,"['Adventure', 'Action', 'RPG']"
kaizen-a-factory-story,Kaizen: A Factory Story,0,2025-07-14,False,0.0,0,1,0,2,0,2025-07-27T12:04:42,1006763,1,"['Strategy', 'Simulation']"
futamata-renai-two-times-the-trouble,Futamata Ren'ai: Two Times the Trouble,1,2025-07-25,False,0.0,0,0,0,2,141,2025-07-28T10:56:11,1007612,0,"['Indie', 'RPG']"
ells-tales-chairbound,Ells Tales: Chairbound,0,2025-08-01,False,0.0,0,0,0,2,0,2025-08-04T11:29:20,1008058,0,['Simulation']
metro-gravity,Metro Gravity,0,2025-06-19,False,0.0,0,0,0,2,255,2025-06-23T09:02:09,1005442,0,"['Indie', 'Adventure', 'Action']"
prime-world-classic,Prime World: Classic,0,2025-06-26,False,0.0,0,0,0,1,0,2025-06-30T05:32:15,1005911,0,"['Strategy', 'Massively Multiplayer', 'Action', 'RPG']"
no-good-streamer-mirai-chan-now-accepting-lewd-com,No-good Streamer Mirai-chan! (Now accepting lewd comments),1,2025-06-25,False,0.0,0,0,0,1,151,2025-06-27T12:38:56,1005801,0,"['Adventure', 'Simulation']"
fskn,FSKN,0,2025-06-17,False,0.0,0,0,0,1,0,2025-06-20T07:20:36,1005182,0,"['Adventure', 'Action']"
girlfriend-saves-the-city,Girlfriend Saves the City,0,2025-07-21,False,0.0,0,0,0,1,52,2025-07-25T05:13:16,1007277,0,"['Adventure', 'Action']"
tiny-aquarium-social-fishkeeping,Tiny Aquarium: Social Fishkeeping,0,2025-06-23,False,0.0,0,0,0,1,241,2025-06-27T09:12:25,1005653,0,"['Casual', 'Indie', 'Massively Multiplayer', 'Simulation']"
true-nightmare-roadside-safe,True Nightmare - Roadside Сafe,0,2025-07-21,False,0.0,0,0,0,1,172,2025-07-25T05:08:13,1007273,0,"['Casual', 'Adventure']"
peak-2025-2,PEAK (2025)!,0,2025-06-16,False,0.0,0,1,0,1,0,2025-07-18T19:51:23,1007054,1,['Indie']
